key	what it is for / what to preserve	en (English)	am (አማርኛ)	om (Afaan Oromoo)	ti (ትግርኛ)	so (Soomaali)	sw (Kiswahili)	reviewer notes
admin.assistant_report	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	{bank} — assistant report	{bank} — የረዳት ሪፖርት	{bank} — gabaasa gargaaraa	{bank} — ጸብጻብ ሓጋዚ	{bank} — warbixinta kaaliyaha	{bank} — ripoti ya msaidizi	
admin.last_n_days	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Last {n} days	ያለፉት {n} ቀናት	Guyyoota {n} darban	ዝሓለፉ {n} መዓልታት	{n} maalmood ee la soo dhaafay	Siku {n} zilizopita	
admin.all_time	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	All time	ሁሉም ጊዜ	Yeroo hunda	ኩሉ ግዜ	Waqti kasta	Wakati Wote	
admin.generated_at	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	generated {when}	የተፈጠረው {when}	kan uumame {when}	ዝተፈጥረ {when}	la sameeyay {when}	imetengenezwa {when}	
admin.days_7	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	7 days	7 ቀናት	Guyyoota 7	7 መዓልታት	7 maalmood	Siku 7	
admin.days_30	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	30 days	30 ቀናት	Guyyoota 30	30 መዓልታት	30 maalmood	Siku 30	
admin.days_90	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	90 days	90 ቀናት	Guyyoota 90	90 መዓልታት	90 maalmood	Siku 90	
admin.days_all	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	All	ሁሉም	Hunda	ኩሉ	Dhammaan	Zote	
admin.export_csv	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Export CSV	CSV አውጣ	CSV baasi	CSV ኣውጽእ	CSV soo saar	Hamisha CSV	
admin.print	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Print	አትም	Maxxansi	ሕተም	Daabac	Chapisha	
admin.good_morning	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Good morning	እንደምን አደሩ	Akkam bulte	ከመይ ሓዲርኩም	Subax wanaagsan	Habari za Asubuhi	
admin.good_afternoon	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Good afternoon	እንደምን ዋሉ	Akkam oolte	ከመይ ወዓልኩም	Galab wanaagsan	Habari za Mchana	
admin.good_evening	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Good evening	እንደምን አመሹ	Akkam galgalte	ከመይ ኣምሰኹም	Fiid wanaagsan	Habari za Jioni	
admin.escalation_waiting	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	{n} escalation waiting for someone.	{n} ጉዳይ ሰው እየጠበቀ ነው።	Dhimmi {n} nama eeggachaa jira.	{n} ጉዳይ ሰብ ይጽበ ኣሎ።	{n} arrin ayaa qof sugaya.	Suala {n} linasubiri mtu.	
admin.escalations_waiting	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	{n} escalations waiting for someone.	{n} ጉዳዮች ሰው እየጠበቁ ናቸው።	Dhimmoonni {n} nama eeggachaa jiru.	{n} ጉዳያት ሰብ ይጽበዩ ኣለዉ።	{n} arrimood ayaa qof sugaya.	Masuala {n} yanasubiri mtu.	
admin.queue_empty	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Nothing is waiting in the queue.	በወረፋ ላይ የሚጠብቅ የለም።	Sararaa keessa kan eeggatu hin jiru.	ኣብ ሪጋ ዝጽበ የለን።	Waxba safka kuma jiraan.	Hakuna kinachosubiri kwenye foleni.	
admin.last_n_days_lower	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	last {n} days	ያለፉት {n} ቀናት	guyyoota {n} darban	ዝሓለፉ {n} መዓልታት	{n} maalmood ee la soo dhaafay	siku {n} zilizopita	
admin.all_time_lower	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	all time	ሁሉም ጊዜ	yeroo hunda	ኩሉ ግዜ	waqti kasta	wakati wote	
admin.conversations	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Conversations	ውይይቶች	Marii	ዝርርባት	Wadahadallo	Mazungumzo	
admin.questions_asked	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Questions asked	የተጠየቁ ጥያቄዎች	Gaaffiiwwan gaafataman	ዝተሓተቱ ሕቶታት	Su'aalaha la weydiiyay	Maswali Yaliyoulizwa	
admin.greetings_excluded	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	greetings and thanks excluded	ሰላምታና ምስጋና ሳይካተት	nagaa fi galanni hin dabalamne	ሰላምታን ምስጋናን ከይሓወሰ	salaanta iyo mahadnaqa lagama tirinayo	salamu na shukrani hazijumuishwi	
admin.resolved_without_person	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Resolved without a person	ያለ ሰው የተፈቱ	Nama malee kan furaman	ብዘይ ሰብ ዝተፈትሑ	Qof la'aan la xalliyay	Yalitatuliwa Bila Mtu	
admin.no_questions_yet	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	no questions yet	እስካሁን ጥያቄ የለም	hanga ammaatti gaaffiin hin jiru	ክሳብ ሕጂ ሕቶ የለን	weli su'aalo ma jiraan	hakuna swali bado	
admin.answered_own_content	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Answered from your own content	ከራስዎ ይዘት የተመለሱ	Qabiyyee keessan irraa kan deebi'an	ካብ ናትኩም ትሕዝቶ ዝተመለሱ	Laga jawaabay macluumaadkaaga	Imejibiwa Kutoka kwa Maudhui Yako	
admin.n_of_m	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	{n} of {m}	{n} ከ{m}	{n} kan {m} keessaa	{n} ካብ {m}	{n} ka mid ah {m}	{n} ya {m}	
admin.conversations_per_day	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Conversations per day	በቀን ውይይቶች	Marii guyyaatti	ኣብ መዓልቲ ዝርርባት	Wadahadallada maalintii	Mazungumzo kwa Siku	
admin.no_days_yet	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Nothing in this window yet.	በዚህ ጊዜ ውስጥ እስካሁን ምንም የለም።	Yeroo kana keessa hanga ammaatti wanti jiru hin jiru.	ኣብዚ ግዜ ክሳብ ሕጂ ዋላ ሓደ የለን።	Muddadan weli waxba ma jiraan.	Hakuna kitu katika kipindi hiki bado.	
admin.escalation_queue	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Escalation queue	የማሸጋገሪያ ወረፋ	Sararaa dabarsaa	ሪጋ ምትሕልላፍ	Safka gudbinta	Foleni ya Masuala Yaliyoelekezwa	
admin.open_label	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Open	ክፍት	Banaa	ክፉት	Furan	Wazi	
admin.closed_label	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Closed	የተዘጋ	Cufaa	ዕጹው	Xiran	Imefungwa	
admin.n_reachable	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	{n} reachable	{n} ሊደረስባቸው የሚችሉ	{n} kan bira gahamu	{n} ክብጻሕዎም ዝኽእሉ	{n} la gaari karo	{n} wanapatikana	
admin.n_no_contact	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	{n} with no contact details	{n} የመገናኛ መረጃ የሌላቸው	{n} odeeffannoo quunnamtii hin qabne	{n} ሓበሬታ መራኸቢ ዘይብሎም	{n} aan lahayn xogta xiriirka	{n} hawana taarifa za mawasiliano	
admin.what_happened	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	What happened to each question	ለእያንዳንዱ ጥያቄ ምን ተፈጠረ	Gaaffii tokkoon tokkoon isaanii maaltu isaan mudate	ንነፍስ ወከፍ ሕቶ እንታይ ኮነ	Maxaa ku dhacay su'aal kasta	Kilichotokea kwa kila swali	
admin.also_recorded	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Also recorded: {items}	እንዲሁም ተመዝግቧል፦ {items}	Akkasumas galmaa'e: {items}	ከምኡ'ውን ተመዝጊቡ፦ {items}	Sidoo kale waa la diiwaangeliyay: {items}	Pia imerekodiwa: {items}	
admin.unclassified_note	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	{n} earlier replies carry no outcome and are not counted above.	{n} ቀደም ያሉ መልሶች ውጤት የላቸውም፤ ከላይ አልተቆጠሩም።	Deebiiwwan {n} kanneen duraa bu'aa hin qaban, olitti hin lakkaa'amne.	{n} ናይ ቅድሚ ሕጂ መልስታት ውጽኢት የብሎምን፣ ኣብ ላዕሊ ኣይተቖጽሩን።	{n} jawaabihii hore natiijo ma laha, korna laguma tirin.	Majibu {n} ya awali hayana matokeo yaliyoainishwa na hayajahesabiwa hapo juu.	
admin.most_asked	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Most asked	በብዛት የተጠየቁ	Kan baay'inaan gaafataman	ብብዝሒ ዝተሓተቱ	Kuwa ugu badan ee la weydiiyay	Yanayoulizwa Zaidi	
admin.nothing_asked_yet	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Nothing asked yet in this window.	በዚህ ጊዜ ውስጥ የተጠየቀ የለም።	Yeroo kana keessatti wanti gaafatame hin jiru.	ኣብዚ እዋን'ዚ ዝተሓተተ የለን።	Waqtigan waxba lama weydiin.	Hakuna kilichoulizwa katika muda huu.	
admin.grouped_by_wording	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Grouped by wording. Phone numbers and names are removed before grouping.	በአገላለጽ የተመደበ። ስልክ ቁጥሮችና ስሞች ከመመደቡ በፊት ይወገዳሉ።	Jechaan kan ramadame. Lakkoofsi bilbilaa fi maqaan osoo hin ramadamin dura ni haqama.	ብኣዘራርባ ዝተጠርነፈ። ቁጽሪ ስልክን ስማትን ቅድሚ ምጥርናፍ ይእለዩ።	Waxaa loo kala saaray erayada. Lambarrada taleefanka iyo magacyada waa la saaraa ka hor.	Yamepangwa kwa maneno. Namba za simu na majina yameondolewa kabla ya kupanga.	
admin.what_happened_when_asked	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	What happened when this was asked	ይህ ሲጠየቅ ምን ሆነ	Yeroo kun gaafatametti maaltu ta'e	እዚ ምስ ተሓተተ እንታይ ኮነ	Maxaa dhacay markii tan la weydiiyay	Kilichotokea liliposwali hili	
admin.n_other_questions	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	{n} other questions	{n} ሌሎች ጥያቄዎች	Gaaffii {n} biroo	{n} ካልኦት ሕቶታት	{n} su'aalood oo kale	Maswali mengine {n}	
admin.view_in_content_gaps	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	View in Content Gaps	በይዘት ክፍተቶች ይመልከቱ	Hanqina Qabiyyee keessatti ilaali	ኣብ ናይ ትሕዝቶ ክፍተታት ርአ	Ka eeg Farqiyada Nuxurka	Angalia katika Mapungufu ya Maudhui	
